"CS_PRODUCT_OBJECT_TYPE__C","CATEGORY_GROUP__C","CATEGORY_LEVEL_1__C","CATEGORY_LEVEL_2__C","CATEGORY_LEVEL_3__C","CATEGORY_LEVEL_4__C","CATEGORY_LEVEL_5__C","CATEGORY_LEVEL_6__C","CREATEDBYID","CREATEDDATE","CURRENCYISOCODE","GLOBAL_CATEGORY_GROUP__C","GLOBAL_CATEGORY_LEVEL_1__C","ID","ISDELETED","IS_SUPERMARKET__C","JOKR_ENTITY__C","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","NAME","OWNERID","SYSTEMMODSTAMP"
"","Fresh Food","Bakery","Wraps, Pita & Indian Breads","Paratha","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2TEMA0","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF101006003","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
"","Fresh Food","Bakery","Wraps, Pita & Indian Breads","Pita","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2TFMA0","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF101006004","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
"","Fresh Food","Bakery","Wraps, Pita & Indian Breads","Wraps","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2TGMA0","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF101006005","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
"","Fresh Food","Dairy & Chilled","Butter, Spreads & Margarine","Butter","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2THMA0","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF102001001","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
"","Fresh Food","Dairy & Chilled","Butter, Spreads & Margarine","Spreads & Margarine","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2TIMA0","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF102001002","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
"","Fresh Food","Dairy & Chilled","Cheese","Artisanal Cheese","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2TJMA0","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF102002001","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
"","Fresh Food","Dairy & Chilled","Cheese","Blue Cheese","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2TKMA0","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF102002002","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
"","Fresh Food","Dairy & Chilled","Cheese","Brie & Camembert","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2TLMA0","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF102002003","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
"","Fresh Food","Dairy & Chilled","Cheese","Cheese Spread & Snacks","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2TMMA0","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF102002004","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
"","Fresh Food","Dairy & Chilled","Cheese","Cream & Cottage Cheese","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2TNMA0","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF102002005","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
